product_id,brand_name,review_id,review_title,review_text,author,review_date,review_rating,is_a_buyer,pro_user,review_label,product_title,mrp,price,product_rating,product_rating_count,product_tags,product_url
1324436,Kay Beauty,21482666,Superb product,Love it,Hufriya Vevaina,2021-11-22 11:11:56,5.0,True,False,Verified Buyer,Kay Beauty Eyeshadow Palette,1199,959,4.6,2181,FEATURED,https://www.nykaa.com/kay-beauty-eyekanvas-eyeshadow-palette/p/1324436
2659739,Herbal Essences,13955613,Good,Can't stop buying this product. Worth every penny Smell amazing and provides great amount of moisture . Good for dull hair,diksha chahal,2020-07-22 21:35:27,4.0,True,False,Verified Buyer,Herbal Essences Argan Oil Of Moroccan Shampoo & Conditioner With Free Neem Comb,1250,750,4.4,1008,"FEATURED, BESTSELLER",https://www.nykaa.com/herbal-essences-argan-oil-of-moroccan-shampoo-conditioner-with-free-neem-comb/p/2659739
785729,Nykaa Naturals,26663193,Effective,The pimple will not cure overnight but will surely shrink.,Pooja Sengupta,2022-07-17 23:15:10,5.0,True,False,Verified Buyer,Nykaa Skin Secrets Tea Tree & Salicylic Acid Spot Patch,100,90,3.8,8212,BESTSELLER,https://www.nykaa.com/nykaa-skin-secrets-spot-on-tea-tree-salicylic-acid-pimple-patch-old/p/785729
681194,L'Oreal Paris,17536933,Great formula must buy,Must buy and great formula leaves your lips super comfy,priyanka,2021-03-27 08:59:37,4.0,True,False,Verified Buyer,L'Oreal Paris Infallible Ultra Matte Liquid Les Macarons Lipstick,799,799,4.1,714,,https://www.nykaa.com/l-oreal-paris-infallible-ultra-matte-liquid-les-macarons-lipstick/p/681194
787778,Nykaa Cosmetics,22398176,Very cute shade,Ordered the shade 'Jahanvi'. Really cute and non drying on lips. Lasts a good 5-6 hours with one coat. Multiple coats would last even longer.,Saloni Garg,2022-01-12 23:13:28,5.0,True,False,Verified Buyer,Nykaa Matte to Last! Mini Liquid Lipstick - Jhumki 14,239,203,3.9,80807,,https://www.nykaa.com/nykaa-matte-to-last-mini-liquid-lipstick-jhumki-14/p/787778
648691,Maybelline New York,12717644,Superb,I bought this from Nykaa when I'm going to attend a party with blue dress and this kajal made my look amazing.,Rajput,2020-02-26 14:30:25,5.0,False,False,,Maybelline New York Tattoo Studio Gel Eyeliner Pencil,499,325,4.0,1464,,https://www.nykaa.com/maybelline-new-york-tattoo-studio-gel-eyeliner-pencil/p/648691
42114,NYX Professional Makeup,6256185,Smooth Slide.,Medium/Tan is the perfect contour for a fair skin tone. This stick glides on really smoothly and is easily blend-able. As always NYX lives up to its expectations.,Sidrah Rakhange,2019-08-03 18:01:28,5.0,True,False,Verified Buyer,NYX Professional Makeup Wonder Stick,835,835,3.8,1131,,https://www.nykaa.com/nyx-professional-makeup-wonder-stick/p/42114
248367,Nykaa Cosmetics,11855782,Awesome product.,"Full of sparkles and compact as shown! The size is almost as shown in the image. Not too big, not too small either. You can fit your basic makeup essentials, phone and earphones (about 5-8 items depending on size)",Manisha Golecha,2019-12-17 14:02:56,5.0,True,False,Verified Buyer,Nykaa Party Edit Clutch,999,749,4.1,2600,,https://www.nykaa.com/nykaa-party-edit-clutch/p/248367
6583638,Kay Beauty,29616860,Glitter,"The glitters are not at all visible ,they just give a beautiful gold reflex when u r out in the sun. For daily wear i prefer brown's rather than blacks, now i got a new shade which is very wearable",Mantasha 28,2022-10-22 11:29:41,5.0,False,False,,Kay Beauty Gel Eye Pencil,599,599,4.4,606,,https://www.nykaa.com/kay-beauty-gel-eye-pencil/p/6583638
692818,Kay Beauty,20479769,Wonderful wonderful mascara,Its very light weight and defines your lashes. I have used many mascaras before and all of them felt very heavy on my lashes this one was really good,harshada M,2021-09-16 14:36:08,5.0,False,False,,Kay Beauty Ultra Black Volume & Length Mascara - Midnight,799,679,4.5,1760,,https://www.nykaa.com/kay-beauty-volume-length-mascara-midnight/p/692818
5360837,Herbal Essences,11531370,Loved it,The fragrance is very refreshing and it has worked wonders for my once damaged hair which doesn’t look damaged anymore,Shringarika Sinha,2019-11-30 14:30:22,5.0,True,False,Verified Buyer,Herbal Essences Argan Oil Of Morocco Shampoo - For Frizz Free Hair - Paraben Free,600,390,4.3,8769,"FEATURED, BESTSELLER",https://www.nykaa.com/herbal-essences-argan-oil-of-morocco-shampoo-for-frizz-free-hair-paraben-free/p/5360837
787778,Nykaa Cosmetics,25862503,It’s fine but too small,It’s fine but too small and very less quantity,Shefali T,2022-06-15 12:19:04,5.0,True,False,Verified Buyer,Nykaa Matte to Last! Mini Liquid Lipstick - Jhumki 14,239,203,3.9,80807,,https://www.nykaa.com/nykaa-matte-to-last-mini-liquid-lipstick-jhumki-14/p/787778
374235,Nykaa Cosmetics,16240439,This is just wow,3rd time buying this one for me and my friends this can be a perfact gift as well this shade is blessing for anyone who wears lipstick on daily notes,Urvashi Nakum,2020-12-15 18:26:41,5.0,True,False,Verified Buyer,Nykaa So Matte! Mini Lipstick - 17 M Cranberry Sangria,199,159,4.0,98477,,https://www.nykaa.com/nykaa-so-matte-mini-lipstick-17-m-cranberry-sangria/p/374235
